step,avg_delay,avg_queue,max_queue,throughput,cumulative_reward
1000,42.27710843373494,1.3333333333333333,2,0,-88.8875502008032
1001,42.433734939759034,1.3333333333333333,2,0,-178.0883534136546
1002,41.18072289156626,1.3333333333333333,2,2,-258.78313253012044
1003,41.109756097560975,1.1666666666666667,2,1,-342.16931139190905
1004,40.25595238095238,1.0833333333333333,2,0,-426.7645494871471
1005,40.126506024096386,0.8333333333333334,2,1,-507.8508948686732
1006,40.2289156626506,0.6666666666666666,2,0,-591.975392860641
1007,40.31927710843374,0.6666666666666666,2,0,-676.2806137441752
1008,40.40963855421687,0.6666666666666666,2,0,-760.7665575192756
1009,40.506024096385545,0.9166666666666666,2,0,-845.6952723787133
1010,41.073170731707314,0.9166666666666666,2,1,-928.7582805087945
1011,40.68674698795181,1.0833333333333333,2,0,-1014.2151078180315
1012,40.795180722891565,1.25,2,0,-1100.0554692638145
1013,40.89156626506024,1.1666666666666667,2,0,-1186.0052684606017
1014,41.01807228915663,1.1666666666666667,2,0,-1272.2080797055817
1015,41.16867469879518,1.25,2,0,-1358.795429103172
1016,41.30722891566265,1.25,2,0,-1445.6598869344973
1017,41.0,1.25,2,0,-1531.9098869344973
1018,41.18452380952381,1.25,2,0,-1618.528934553545
1019,41.36904761904762,1.3333333333333333,2,0,-1705.6003631249737
1020,41.55357142857143,1.3333333333333333,2,0,-1793.0408393154498
1021,41.27058823529412,1.3333333333333333,2,0,-1879.9153491193715
1022,40.45238095238095,1.3333333333333333,2,2,-1959.1534443574667
1023,39.626506024096386,1.3333333333333333,2,2,-2036.7397897389928
1024,39.36904761904762,1.3333333333333333,2,0,-2119.8112183104213
1025,39.56547619047619,1.3333333333333333,2,0,-2203.275504024707
1026,39.74404761904762,1.3333333333333333,2,0,-2287.0969325961355
1027,39.916666666666664,1.0,2,0,-2370.930265929469
1028,39.6,0.8333333333333334,2,0,-2453.9635992628023
1029,39.741176470588236,0.6666666666666666,2,0,-2537.1126188706453
1030,39.44186046511628,0.75,2,0,-2619.7463398008776
1031,39.61046511627907,0.6666666666666666,2,0,-2702.6339367001024
1032,39.298850574712645,0.6666666666666666,2,0,-2784.8983045161945
1033,39.49425287356322,0.9166666666666666,2,0,-2867.8034769299875
1034,39.660919540229884,1.0,2,0,-2951.125316010447
1035,39.833333333333336,1.1666666666666667,2,0,-3034.9586493437805
1036,40.01724137931034,1.3333333333333333,2,0,-3119.3264654357345
1037,39.72727272727273,1.3333333333333333,2,0,-3203.1143442236134
1038,39.91477272727273,1.3333333333333333,2,0,-3287.2772230114924
1039,40.09659090909091,1.3333333333333333,2,0,-3371.8037381630074
1040,40.26704545454545,1.3333333333333333,2,0,-3456.6711624054315
1041,40.44886363636363,1.3333333333333333,2,0,-3541.902223011492
1042,40.64204545454545,1.3333333333333333,2,0,-3627.519647253916
1043,40.37640449438202,1.4166666666666667,2,0,-3712.6891229093467
1044,40.56741573033708,1.4166666666666667,2,0,-3798.2406210366876
1045,40.30555555555556,1.4166666666666667,2,0,-3883.2683988144654
1046,40.032967032967036,1.3333333333333333,2,0,-3967.667666213733
1047,38.84065934065934,1.3333333333333333,2,2,-4043.6823182283847
1048,38.78333333333333,1.1666666666666667,2,1,-4122.415651561718
1049,38.92777777777778,1.0833333333333333,2,0,-4204.354540450607
1050,39.03333333333333,0.8333333333333334,2,0,-4286.254540450606
1051,39.57865168539326,0.8333333333333334,2,1,-4366.245177154726
1052,39.47727272727273,0.6666666666666666,2,1,-4445.866389275938
1053,39.56818181818182,0.6666666666666666,2,0,-4528.669419578968
1054,39.69886363636363,1.0,2,0,-4612.067146851695
1055,39.8125,1.0,2,0,-4695.692146851695
1056,39.92613636363637,1.0,2,0,-4779.544419578968
1057,40.05113636363637,1.25,2,0,-4863.896692306241
1058,40.17613636363637,1.1666666666666667,2,0,-4948.41563170018
1059,40.32386363636363,1.1666666666666667,2,0,-5033.230025639574
1060,40.45454545454545,1.1666666666666667,2,0,-5118.305783215332
1061,40.56818181818182,1.25,2,0,-5203.692146851696
1062,40.71022727272727,1.25,2,0,-5289.362601397151
1063,40.86363636363637,1.25,2,0,-5375.339874124424
1064,41.01704545454545,1.3333333333333333,2,0,-5461.707298366848
1065,41.18181818181818,1.3333333333333333,2,0,-5548.404268063818
1066,41.36363636363637,1.3333333333333333,2,0,-5635.464874124424
1067,40.10227272727273,1.3333333333333333,2,2,-5714.002752912303
1068,40.01149425287356,1.3333333333333333,2,1,-5795.359074751383
1069,39.45977011494253,1.3333333333333333,2,1,-5875.611948314601
1070,39.62068965517241,1.3333333333333333,2,0,-5959.186660958279
1071,39.78735632183908,1.0,2,0,-6042.7613736019575
1072,40.406976744186046,0.9166666666666666,2,1,-6124.491993756997
1073,40.5406976744186,0.75,2,0,-6209.3233891058335
1074,40.69186046511628,0.75,2,0,-6294.457110036066
1075,40.81976744186046,0.6666666666666666,2,0,-6379.763311586454
1076,40.97093023255814,0.6666666666666666,2,0,-6465.371838718237
