episode,avg_delay,avg_queue,max_queue,throughput
1,161.1792916666667,6.801458333333333,28,1307
2,218.912875,8.185958333333334,42,1304
3,245.73720833333334,7.3700833333333335,35,1284
4,240.8607916666667,8.169416666666667,46,1205
5,196.358625,8.105166666666667,41,1268
6,154.82875,7.7595,44,1437
7,154.52729166666666,7.558916666666667,41,1372
8,265.068625,7.186916666666666,33,1245
9,236.467875,8.97775,46,1249
10,168.29466666666664,8.366583333333333,44,1292
11,164.99129166666665,8.639041666666666,47,1390
12,191.10679166666665,7.5715,41,1321
13,215.283125,8.517416666666668,46,1354
14,223.04395833333334,6.907375,31,1274
15,228.73883333333333,8.687541666666666,47,1235
16,201.709375,8.702583333333333,43,1340
17,171.5440833333333,7.970249999999999,46,1308
18,207.87275,7.518458333333333,36,1271
19,157.77766666666668,6.840416666666666,34,1235
20,190.29541666666665,7.400916666666666,37,1260
21,179.65483333333333,8.464666666666666,47,1329
22,147.2370416666667,7.879125,43,1309
23,182.63295833333333,6.743416666666666,25,1250
24,211.904,7.954291666666667,44,1387
25,153.15616666666668,6.82575,29,1234
26,156.33841666666666,7.895625,35,1389
27,166.21175,7.71,47,1311
28,227.39795833333332,8.789041666666666,47,1350
29,179.79975,7.371458333333334,35,1260
30,172.0065,8.429,44,1347
31,184.8843333333333,7.717125000000001,37,1341
32,163.079,7.219208333333334,37,1318
33,196.8226666666667,7.452,37,1302
34,208.72204166666666,9.092375,47,1230
35,188.6772083333333,7.65125,47,1348
36,151.862375,7.725083333333334,39,1406
37,178.02166666666668,7.860375,38,1265
38,163.567375,7.51625,36,1286
39,242.76216666666667,8.579958333333332,45,1303
40,255.97341666666665,8.828625,47,1311
41,175.210375,7.226416666666667,37,1273
42,190.89745833333333,8.293375,38,1332
43,186.62991666666665,6.624375,23,1357
44,123.60066666666668,6.5365416666666665,25,1291
45,152.2891666666667,8.310916666666667,43,1305
46,204.24883333333332,7.778666666666668,35,1383
47,141.98525,7.538916666666666,47,1329
48,177.03254166666667,8.172333333333333,47,1303
49,211.185875,6.979291666666666,33,1264
50,181.602625,7.253666666666666,31,1277
